Numero Tarjeta;Fecha;Establecimiento;Tipo Transaccion;Moneda;Importe
XXXX XXXX XXXX 7968;13/06/2025;CONSUMO EN PESOS                        ;CONS. $     ;Pesos;4,940.00
XXXX XXXX XXXX 7968;13/06/2025;CONSUMO EN PESOS                        ;CONS. $     ;Pesos;15,249.34
